Program Year,CE ID,CE Name,ESC Region,Review ID,Review Date,Finding Area,Question Number,"Question
(For more details, USDA provides information on the forms referenced in this column on their Website.)"
2015 - 2016,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,14,18297,11/17/2015,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,14,18297,11/17/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,14,18297,11/17/2015,1700 - Afterschool Snack,1707,a. Has the program been monitored within the first 4 weeks of operation each year?
2015 - 2016,00721,VYSEHRAD ISD,3,14142,11/17/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,00191,COLEMAN ISD,15,18299,11/18/2015,1400 - Food Safety,1406,Were the selected relevant temperature logs available for review? If YES to specify which date was selected. If NO explain.
2015 - 2016,00191,COLEMAN ISD,15,18299,11/18/2015,400 - Meal Components and Quantities - Breakfast,401,Did all meals observed for the day of review counted for reimbursement contain all of the required meal components?
2015 - 2016,00135,BROOKESMITH ISD,15,13577,11/19/2015,800 - Civil Rights,806,"When was the SFA’s most recent civil rights training for staff who interact with program applicants or participants (i.e., cafeteria staff, F/R application approval staff) and their supervisors?    Provide supporting documentation for the responses."
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,1400 - Food Safety,1404,"Is the most recent food safety inspection report posted in a publicly visible location?  If NO, explain."
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,2100 - Special Provision Options,2115,"Does the SFA documentation support the Identified Student Percentages and claiming percentages at time of latest CEP approval?  If NO, explain."
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,300 - Meal Counting and Claiming,316,All Schools for the Review Period
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,300 - Meal Counting and Claiming - Lunch,320,Are meal count totals by category combined and recorded correctly?
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,400 - Meal Components and Quantities - Breakfast,404,"Is there signage explaining what constitutes a reimbursable breakfast to students?  If NO, explain and list the technical assistance provided."
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,Additional Review Questions,3,"Was the competitive procurement procedures used on purchases of $100,000 or more concerning RCCI and private schools and $50,000 concerning public schools?"
2015 - 2016,00252,"EXCELLENCE 2000, INC.",10,13691,11/19/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,00289,LAMESA ISD,17,13727,11/24/2015,100 - Certification and Benefit Issuance,138,"Did the SFA update the benefit issuance document(s) accurately and in a timely manner, including those students that are new, transferred, or withdrawn?  If NO, explain.  Record errors on the Eligibility Certification and Benefit Issuance Error Worksheet (SFA-1)."
2015 - 2016,00289,LAMESA ISD,17,13727,11/24/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00289,LAMESA ISD,17,13727,11/24/2015,300 - Meal Counting and Claiming,316,All Schools for the Review Period
2015 - 2016,00289,LAMESA ISD,17,13727,11/24/2015,800 - Civil Rights,806,"When was the SFA’s most recent civil rights training for staff who interact with program applicants or participants (i.e., cafeteria staff, F/R application approval staff) and their supervisors?    Provide supporting documentation for the responses."
2015 - 2016,00289,LAMESA ISD,17,13727,11/24/2015,Additional Review Questions,4,Is the CE purchasing from a Co-op?
2015 - 2016,00289,LAMESA ISD,17,13727,11/24/2015,SFAs Contracting with FSMCs Review Form,2,"Does the SFA allow an employee of the FSMC to perform aspects of the application, certification, and/or verification process of eligibility for school meal programs?  If YES, explain."
2015 - 2016,01100,CANTON ISD,10,14511,12/03/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,00386,FORT BEND ISD,4,13822,12/07/2015,400 - Meal Components and Quantities - Breakfast,401,Did all meals observed for the day of review counted for reimbursement contain all of the required meal components?
2015 - 2016,00386,FORT BEND ISD,4,13822,12/07/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00386,FORT BEND ISD,4,13822,12/07/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,00386,FORT BEND ISD,4,13822,12/07/2015,400 - Meal Components and Quantities - Lunch,402,Are the minimum daily quantity requirements met for the age/grade group being served?
2015 - 2016,00386,FORT BEND ISD,4,13822,12/07/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01170,SLIDELL ISD,11,18270,12/07/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01170,SLIDELL ISD,11,18270,12/07/2015,300 - Meal Counting and Claiming,314,"Is the SFA following their approved SFA-SA Agreement/application (including POS)?  If NO, explain."
2015 - 2016,00632,SPRING CREEK ISD,16,14055,12/07/2015,1400 - Food Safety,1405,"Was the SFA's written food safety plan implemented?   If NO, explain."
2015 - 2016,00632,SPRING CREEK ISD,16,14055,12/07/2015,1400 - Food Safety,1406,Were the selected relevant temperature logs available for review? If YES to specify which date was selected. If NO explain.
2015 - 2016,00595,SUNDOWN ISD,17,18314,12/07/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01017,ARLINGTON ISD,11,18262,12/08/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00345,CLINT ISD,19,13781,12/08/2015,700 - Resource Management (2015),710,Did the SFA use the USDA Nonprogram Food Revenue Tool or a USDA-approved alternative method to calculate its nonprogram food costs and nonprogram food revenues?
2015 - 2016,01157,COUPLAND ISD,13,14565,12/08/2015,100 - Certification and Benefit Issuance,105,How long does the application's approval take from the date the SFA receives the application from the household?
2015 - 2016,01157,COUPLAND ISD,13,14565,12/08/2015,700 - Resource Management (2015),711,Was the SFA’s proportion of total revenue from the sale of nonprogram foods to the total revenue of the school food service account equal to or greater than the proportion of total food costs associated with obtaining nonprogram foods to the total costs associated with obtaining program and nonprogram foods from the account?
2015 - 2016,01157,COUPLAND ISD,13,14565,12/08/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,100 - Certification and Benefit Issuance,120,Does the benefit issuance document indicate the date the eligibility status changes were made?
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,100 - Certification and Benefit Issuance,136,"a. Are free and reduced price benefits provided to students in a manner that assures confidentiality and prevents overt identification during meal service or at any other time in accordance with regulations and FNS Policy Memo SP45-2012?  If NO, explain."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,100 - Certification and Benefit Issuance,131,"Are any applications denied incorrectly?  If YES, record student names on the SFA-2."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,1400 - Food Safety,1405,"Was the SFA's written food safety plan implemented?   If NO, explain."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,1400 - Food Safety,1404,"Is the most recent food safety inspection report posted in a publicly visible location?  If NO, explain."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,1400 - Food Safety,1407,"Were on-site (or Off-site, if observed) storage violations observed?  If YES, explain."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,200 - Verification,209,Based on the review of verified applications:
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,200 - Verification,211,"Does the SFA’s verification notification letter include all required information?   If NO, explain."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,400 - Meal Components and Quantities - Lunch,402,Are the minimum daily quantity requirements met for the age/grade group being served?
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,900 - SFA On Site Monitoring,901,a. Was the on-site review of the meal counting and claiming procedure completed prior to February 1?
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,00656,HAMSHIRE-FANNETT ISD,5,14077,12/08/2015,SFAs Contracting with FSMCs Review Form,6,"Does the SFA maintain the applicable health certification(s) necessary and ensure that all State and local regulations are being met by a FSMC preparing or serving meals for the school food authority?  If NO, explain."
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,100 - Certification and Benefit Issuance,138,"Did the SFA update the benefit issuance document(s) accurately and in a timely manner, including those students that are new, transferred, or withdrawn?  If NO, explain.  Record errors on the Eligibility Certification and Benefit Issuance Error Worksheet (SFA-1)."
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,1400 - Food Safety,1402,Is a copy of the written food safety plan available?
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,1400 - Food Safety,1403,"a. In the comments section, list the dates of the two (2) most recent food safety inspections."
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,300 - Meal Counting and Claiming,316,All Schools for the Review Period
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,300 - Meal Counting and Claiming,314,"Is the SFA following their approved SFA-SA Agreement/application (including POS)?  If NO, explain."
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,300 - Meal Counting and Claiming - Breakfast,325,"a. For the review period, complete S-1, 19."
2015 - 2016,01113,HEMPSTEAD ISD,4,14523,12/08/2015,500 - Offer versus Serve,500,Is Offer vs. Serve being implemented properly by the reviewed school?
2015 - 2016,00405,LA MARQUE ISD,4,20087,12/08/2015,100 - Certification and Benefit Issuance,133,"Were all direct certifications (SNAP, TANF, FDPIR, foster, homeless, runaway, migrant, Head Start and/or Even Start) correctly certified?  If NO, explain.  Record errors on the Certification and Benefit Issuance Error Worksheet, SFA-1."
2015 - 2016,00405,LA MARQUE ISD,4,20087,12/08/2015,100 - Certification and Benefit Issuance,134,"Does the SFA perform Direct Certification matches according to the required timeframes?  If NO, how often are matches conducted?"
2015 - 2016,00405,LA MARQUE ISD,4,20087,12/08/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,00405,LA MARQUE ISD,4,20087,12/08/2015,300 - Meal Counting and Claiming,316,All Schools for the Review Period
2015 - 2016,00405,LA MARQUE ISD,4,20087,12/08/2015,400 - Meal Components and Quantities - Lunch,401,Did all meals observed for the day of review counted for reimbursement contain all of the required meal components?
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,1400 - Food Safety,1405,"Was the SFA's written food safety plan implemented?   If NO, explain."
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,200 - Verification,215,a. Did the SFA complete verification by November 15?
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,200 - Verification,209,Based on the review of verified applications:
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,300 - Meal Counting and Claiming,305,What are the SFA’s meal counting and claiming policies and procedures for the following situations (as applicable):
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,300 - Meal Counting and Claiming - Lunch,320,Are meal count totals by category combined and recorded correctly?
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,300 - Meal Counting and Claiming - Lunch,320,Are meal count totals by category combined and recorded correctly?
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,300 - Meal Counting and Claiming - Lunch,325,"a. For the review period, complete S-1, 19."
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00733,DAYTON ISD,4,18196,12/09/2015,900 - SFA On Site Monitoring,901,a. Was the on-site review of the meal counting and claiming procedure completed prior to February 1?
2015 - 2016,00018,HOLLIDAY ISD,9,13466,12/09/2015,100 - Certification and Benefit Issuance,136,"a. Are free and reduced price benefits provided to students in a manner that assures confidentiality and prevents overt identification during meal service or at any other time in accordance with regulations and FNS Policy Memo SP45-2012?  If NO, explain."
2015 - 2016,00420,LEFORS ISD,16,18307,12/09/2015,200 - Verification,215,a. Did the SFA complete verification by November 15?
2015 - 2016,00420,LEFORS ISD,16,18307,12/09/2015,400 - Meal Components and Quantities - Breakfast,401,Did all meals observed for the day of review counted for reimbursement contain all of the required meal components?
2015 - 2016,00420,LEFORS ISD,16,18307,12/09/2015,500 - Offer versus Serve,500,Is Offer vs. Serve being implemented properly by the reviewed school?
2015 - 2016,00420,LEFORS ISD,16,18307,12/09/2015,800 - Civil Rights,800,What is the non-discrimination statement that is used for appropriate Program materials (please provide exact language)?
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,100 - Certification and Benefit Issuance,137,"Did the SFA accurately transfer the correct benefit from the eligibility determination document to the Point of Service benefit issuance document?  If NO, explain.  Record errors on the SFA-1."
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,1400 - Food Safety,1406,Were the selected relevant temperature logs available for review? If YES to specify which date was selected. If NO explain.
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,200 - Verification,212,"Did the SFA meet the follow-up requirements if the household failed to respond to the request for verification?  If NO, explain"
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,200 - Verification,200,Obtain a copy of the SFA’s most recently submitted FNS-742 (Verification Collection Report).
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,300 - Meal Counting and Claiming - Lunch,320,Are meal count totals by category combined and recorded correctly?
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,300 - Meal Counting and Claiming - Lunch,322,"a. Were there any days when the free, reduced price or paid meal counts exceeded the number of free, reduced price, or paid eligible students?"
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,300 - Meal Counting and Claiming - Lunch,318,"At the selected school(s), does each type of meal service line as observed on the day of review provide an accurate count by eligibility category at the point of service (or approved alternate)?"
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,300 - Meal Counting and Claiming - Lunch,325,"a. For the review period, complete S-1, 19."
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,400 - Meal Components and Quantities - Lunch,402,Are the minimum daily quantity requirements met for the age/grade group being served?
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,400 - Meal Components and Quantities - Lunch,400,a. Were all required meal components available on every reimbursable meal service line to all participating students prior to the beginning of meal service?
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,500 - Offer versus Serve,502,"Is there signage explaining what constitutes a reimbursable meal to students including the requirement to select at least 1/2 cup fruit or vegetable?  If NO, explain and list the technical assistance provided."
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,700 - Resource Management (2015),710,Did the SFA use the USDA Nonprogram Food Revenue Tool or a USDA-approved alternative method to calculate its nonprogram food costs and nonprogram food revenues?
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,800 - Civil Rights,803,"What is the SFA’s procedure for receiving and processing complaints alleging discrimination within FNS School Meal Programs?   If procedures are written, provide a copy."
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,800 - Civil Rights,801,Does the School Food Authority have a Public Release?
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,800 - Civil Rights,806,"When was the SFA’s most recent civil rights training for staff who interact with program applicants or participants (i.e., cafeteria staff, F/R application approval staff) and their supervisors?    Provide supporting documentation for the responses."
2015 - 2016,01722,MERIDIAN WORLD SCHOOL LLC,13,14748,12/09/2015,Additional Review Questions,1,"Does the CE have a certificate of debarment and suspension, lobbying and the clean air/clean water act in the competitive procurement options?"
2015 - 2016,00994,TYLER ISD,7,14413,12/09/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00994,TYLER ISD,7,14413,12/09/2015,600 - Dietary Specifications and Nutrient Analysis,605,"Based on the Nutrient Analysis, did the school meet the Dietary Specifications (Calories, Saturated Fat, Sodium, and Trans Fat) for the appropriate age/grade group being served?"
2015 - 2016,00249,UNIVERSAL ACADEMY,10,13688,12/09/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00249,UNIVERSAL ACADEMY,10,13688,12/09/2015,Additional Review Questions,3,"Was the competitive procurement procedures used on purchases of $100,000 or more concerning RCCI and private schools and $50,000 concerning public schools?"
2015 - 2016,01139,CITY VIEW ISD,9,14548,12/10/2015,400 - Meal Components and Quantities - Breakfast,401,Did all meals observed for the day of review counted for reimbursement contain all of the required meal components?
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,100 - Certification and Benefit Issuance,137,"Did the SFA accurately transfer the correct benefit from the eligibility determination document to the Point of Service benefit issuance document?  If NO, explain.  Record errors on the SFA-1."
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,1400 - Food Safety,1407,"Were on-site (or Off-site, if observed) storage violations observed?  If YES, explain."
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,200 - Verification,200,Obtain a copy of the SFA’s most recently submitted FNS-742 (Verification Collection Report).
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,200 - Verification,209,Based on the review of verified applications:
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,200 - Verification,202,Who serves as the confirming official?   (Name and/or position title or software used is acceptable)
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,700 - Resource Management (2015),707,Did the SFA charge the minimum target paid lunch price at all sites or use the USDA Paid Lunch Equity Tool to evaluate its paid lunch prices?
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,800 - Civil Rights,801,Does the School Food Authority have a Public Release?
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,800 - Civil Rights,803,"What is the SFA’s procedure for receiving and processing complaints alleging discrimination within FNS School Meal Programs?   If procedures are written, provide a copy."
2015 - 2016,00655,SABINE PASS ISD,5,14076,12/10/2015,800 - Civil Rights,806,"When was the SFA’s most recent civil rights training for staff who interact with program applicants or participants (i.e., cafeteria staff, F/R application approval staff) and their supervisors?    Provide supporting documentation for the responses."
2015 - 2016,00333,FERRIS ISD,10,13771,12/15/2015,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,00333,FERRIS ISD,10,13771,12/15/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00333,FERRIS ISD,10,13771,12/15/2015,700 - Resource Management (2015),706,Did the SFA complete a process to ensure its compliance with the net cash resources limitation to a level at or below three months’ average expenses? This process could include a current SA Approved Plan to address resources that exceed the net cash resource limitation.
2015 - 2016,00333,FERRIS ISD,10,13771,12/15/2015,700 - Resource Management (2015),710,Did the SFA use the USDA Nonprogram Food Revenue Tool or a USDA-approved alternative method to calculate its nonprogram food costs and nonprogram food revenues?
2015 - 2016,00265,GOLDEN RULE SCHOOLS INC.,10,18242,12/15/2015,300 - Meal Counting and Claiming - Lunch,320,Are meal count totals by category combined and recorded correctly?
2015 - 2016,00583,HUBBARD ISD-HUBBARD,12,18281,12/15/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01028,HURST-EULESS-BEDFORD ISD,11,14444,12/15/2015,400 - Meal Components and Quantities - Lunch,401,Did all meals observed for the day of review counted for reimbursement contain all of the required meal components?
2015 - 2016,00179,NEW SUMMERFIELD ISD,7,18214,12/15/2015,1700 - Afterschool Snack,1704,a. Are snacks being properly counted and claimed?
2015 - 2016,01063,UNIVERSITY OF TEXAS AT AUSTIN,13,14477,12/16/2015,100 - Certification and Benefit Issuance,138,"Did the SFA update the benefit issuance document(s) accurately and in a timely manner, including those students that are new, transferred, or withdrawn?  If NO, explain.  Record errors on the Eligibility Certification and Benefit Issuance Error Worksheet (SFA-1)."
2015 - 2016,01063,UNIVERSITY OF TEXAS AT AUSTIN,13,14477,12/16/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01063,UNIVERSITY OF TEXAS AT AUSTIN,13,14477,12/16/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,01063,UNIVERSITY OF TEXAS AT AUSTIN,13,14477,12/16/2015,300 - Meal Counting and Claiming,314,"Is the SFA following their approved SFA-SA Agreement/application (including POS)?  If NO, explain."
2015 - 2016,01063,UNIVERSITY OF TEXAS AT AUSTIN,13,14477,12/16/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01063,UNIVERSITY OF TEXAS AT AUSTIN,13,14477,12/16/2015,800 - Civil Rights,810,Do appropriate Program materials use the non-discrimination statement?
2015 - 2016,00791,AXTELL ISD,12,14212,12/17/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01706,PREMIER LEARNING ACADEMY,4,14743,12/17/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00529,SPRING BRANCH ISD,4,13952,01/07/2016,1700 - Afterschool Snack,1704,a. Are snacks being properly counted and claimed?
2015 - 2016,00529,SPRING BRANCH ISD,4,13952,01/07/2016,300 - Meal Counting and Claiming - Lunch,318,"At the selected school(s), does each type of meal service line as observed on the day of review provide an accurate count by eligibility category at the point of service (or approved alternate)?"
2015 - 2016,00529,SPRING BRANCH ISD,4,13952,01/07/2016,300 - Meal Counting and Claiming - Lunch,325,"a. For the review period, complete S-1, 19."
2015 - 2016,00047,KILLEEN ISD,12,13495,01/11/2016,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,01080,WOODVILLE ISD,5,14492,01/11/2016,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00137,CALDWELL ISD,6,13579,01/12/2016,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00137,CALDWELL ISD,6,13579,01/12/2016,200 - Verification,209,Based on the review of verified applications:
2015 - 2016,00544,KATHERINE ANNE PORTER SCHOOL,13,18288,01/12/2016,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,00544,KATHERINE ANNE PORTER SCHOOL,13,18288,01/12/2016,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
